MJD,logL,logLerr,Quality,ph
58895.03,41.589,0.07200000000000001,Bad,30.029999999998836
58895.596,41.582,0.07200000000000001,Great,30.59599999999773
58896.162000000004,41.576,0.07200000000000001,Great,31.1620000000039
58896.727,41.568999999999996,0.07200000000000001,Bad,31.726999999998952
58897.293,41.563,0.07200000000000001,Great,32.292999999997846
58897.859000000004,41.556999999999995,0.07200000000000001,Bad,32.859000000004016
58898.424000000006,41.551,0.07200000000000001,Great,33.424000000006345
58898.99,41.544,0.07200000000000001,Bad,33.98999999999796
58899.556,41.537,0.07200000000000001,Bad,34.55599999999686
58900.121,41.531000000000006,0.07200000000000001,Bad,35.120999999999185
58900.687000000005,41.526,0.07200000000000001,Bad,35.687000000005355
58901.253,41.522,0.07200000000000001,Bad,36.25299999999697
58901.818,41.516999999999996,0.07200000000000001,Bad,36.8179999999993
58902.384000000005,41.511,0.071,Great,37.38400000000547
58902.949,41.503,0.071,Bad,37.949000000000524
58903.515,41.496,0.071,Bad,38.51499999999942
58904.081,41.488,0.07,Bad,39.08099999999831
58904.64599999999,41.481,0.07,Bad,39.645999999993364
58905.212,41.473,0.069,Great,40.211999999999534
58905.778,41.464,0.069,Bad,40.77799999999843
58906.343,41.456,0.069,Great,41.34300000000076
58906.90900000001,41.446999999999996,0.068,Bad,41.90900000000693
58907.475,41.438,0.068,Great,42.474999999998545
58908.04,41.428000000000004,0.068,Bad,43.04000000000087
58908.606,41.418,0.067,Bad,43.60599999999977
58909.172,41.408,0.067,Bad,44.17199999999866
58909.737,41.398,0.067,Bad,44.73700000000099
58910.303,41.387,0.066,Great,45.302999999999884
58910.869000000006,41.376000000000005,0.066,Bad,45.869000000006054
58911.434,41.364,0.066,Bad,46.434000000001106
58912.0,41.352,0.066,Bad,47.0
