# ph	Lobs	err	L+BB	err	

58906.34	1.93e+41	7.52e+39	2.86e+41	4.52e+40
58906.91	1.90e+41	7.37e+39	2.80e+41	4.40e+40
58907.47	1.86e+41	7.23e+39	2.74e+41	4.28e+40
58908.04	1.82e+41	7.08e+39	2.68e+41	4.17e+40
58908.61	1.79e+41	6.93e+39	2.62e+41	4.06e+40
58909.17	1.75e+41	6.79e+39	2.56e+41	3.95e+40
58909.74	1.71e+41	6.64e+39	2.50e+41	3.84e+40
58910.30	1.67e+41	6.50e+39	2.44e+41	3.74e+40
58910.87	1.64e+41	6.35e+39	2.38e+41	3.63e+40
58911.43	1.60e+41	6.20e+39	2.31e+41	3.52e+40
58912.00	1.55e+41	6.04e+39	2.25e+41	3.41e+40

#KEY
# Lobs = integrate observed fluxes with no BB fit
# L+BB = observed flux + BB fit extrapolation
# See logL_obs_2020oi_AUBgVriz.txt and logL_bb_2020oi_AUBgVriz.txt for simple LC files
# Methodology:
# filters used:AUBgVriz
# redshift used:31.16
# extinction used:0.173
# Wavelengths used in observer frame (data already K-corrected?)
# Single BB fit to all wavelengths, with no UV suppression
