wavelength,flux,e_flux
3720.792546,1.2166771,1.2166771
3724.514916,1.2107555,1.2107555
3728.237019,1.2039863,1.2039863
3731.970111,1.1932657,1.1932657
3735.703472,1.1974334,1.1974334
3739.436565,1.1970769,1.1970769
3743.180916,1.1953298,1.1953298
3746.914009,1.1983461,1.1983461
3750.669083,1.2126906,1.2126906
3754.413435,1.2194828,1.2194828
3758.168509,1.2317595,1.2317595
3761.934574,1.2356138,1.2356138
3765.689916,1.2493044,1.2493044
3769.455981,1.2624321,1.2624321
3773.222046,1.2975132,1.2975132
3776.999102,1.3208485,1.3208485
3780.776426,1.3346297,1.3346297
3784.564472,1.3559638,1.3559638
3788.341528,1.3668655,1.3668655
3792.129574,1.3827032,1.3827032
3795.928611,1.3979715,1.3979715
3799.716926,1.4066427,1.4066427
3803.515963,1.4224617,1.4224617
3807.325991,1.4280384,1.4280384
3811.136019,1.4420252,1.4420252
3814.946046,1.4580785,1.4580785
3818.756074,1.4653972,1.4653972
3822.577093,1.4677981,1.4677981
3826.398111,1.4725503,1.4725503
3830.230389,1.4873455,1.4873455
3834.062398,1.4911166,1.4911166
3837.894407,1.4969774,1.4969774
3841.726417,1.5142146,1.5142146
3845.569416,1.5238590,1.5238590
3849.412416,1.5279063,1.5279063
3853.266407,1.5346588,1.5346588
3857.120398,1.5483247,1.5483247
3860.974389,1.5679691,1.5679691
3864.839102,1.5806495,1.5806495
3868.704083,1.5940076,1.5940076
3872.569065,1.6058372,1.6058372
3876.445037,1.6032135,1.6032135
3880.321009,1.6197852,1.6197852
3884.207972,1.6291732,1.6291732
3888.083944,1.6394156,1.6394156
3891.970907,1.6526527,1.6526527
3895.868593,1.6570425,1.6570425
3899.766546,1.6633221,1.6633221
3903.6645,1.6596053,1.6596053
3907.562454,1.6564809,1.6564809
3911.471398,1.6564367,1.6564367
3915.380074,1.6648319,1.6648319
3919.300009,1.6622759,1.6622759
3923.219944,1.6529158,1.6529158
3927.150602,1.6509532,1.6509532
3931.070537,1.6301876,1.6301876
3935.001463,1.6237415,1.6237415
3938.943111,1.6129415,1.6129415
3942.874037,1.6077406,1.6077406
3946.815954,1.6137755,1.6137755
3950.768593,1.6191354,1.6191354
3954.7215,1.6110713,1.6110713
3958.674407,1.6092933,1.6092933
3962.638037,1.6323940,1.6323940
3966.590944,1.6531513,1.6531513
3970.565565,1.6696209,1.6696209
3974.529463,1.6897289,1.6897289
3978.504083,1.7020230,1.7020230
3982.489963,1.7083164,1.7083164
3986.464584,1.7225196,1.7225196
3990.450463,1.7157662,1.7157662
3994.447065,1.7174749,1.7174749
3998.443935,1.7017702,1.7017702
4002.440537,1.6853158,1.6853158
4006.448398,1.6782770,1.6782770
4010.445,1.6800510,1.6800510
4014.463583,1.6750911,1.6750911
4018.471444,1.6656404,1.6656404
4022.490028,1.6639020,1.6639020
4026.519602,1.6598043,1.6598043
4030.538454,1.6455938,1.6455938
4034.579019,1.6339015,1.6339015
4038.608593,1.6279503,1.6279503
4042.649426,1.6197002,1.6197002
4046.689991,1.6180120,1.6180120
4050.741546,1.6129245,1.6129245
4054.782111,1.6027260,1.6027260
4058.844926,1.5825523,1.5825523
4062.896481,1.5630645,1.5630645
4066.970019,1.5343369,1.5343369
4071.032565,1.5273018,1.5273018
4075.106102,1.5215759,1.5215759
4079.179907,1.5208663,1.5208663
4083.253444,1.5244850,1.5244850
4087.337972,1.5485626,1.5485626
4091.433491,1.5509316,1.5509316
4095.518019,1.5573013,1.5573013
4099.613537,1.5776985,1.5776985
4103.720046,1.5946625,1.5946625
4107.815565,1.6104581,1.6104581
4111.933065,1.6103861,1.6103861
4116.039574,1.6071337,1.6071337
4120.157074,1.6094542,1.6094542
4124.274574,1.6135856,1.6135856
4128.403065,1.6181321,1.6181321
4132.531556,1.6375492,1.6375492
4136.660046,1.6483909,1.6483909
4140.799528,1.6469398,1.6469398
4144.939009,1.6538804,1.6538804
4149.089481,1.6525449,1.6525449
4153.228963,1.6553274,1.6553274
4157.390426,1.6638322,1.6638322
4161.540898,1.6740717,1.6740717
4165.702093,1.6850960,1.6850960
4169.874546,1.6852186,1.6852186
4174.047,1.6964532,1.6964532
4178.219454,1.7068413,1.7068413
4182.391907,1.7182438,1.7182438
4186.575083,1.7174892,1.7174892
4190.769519,1.7247027,1.7247027
4194.952963,1.7304741,1.7304741
4199.147398,1.7450742,1.7450742
4203.352556,1.7597158,1.7597158
4207.557981,1.7734590,1.7734590
4211.763407,1.7747622,1.7747622
4215.968565,1.7715961,1.7715961
4220.184981,1.7811276,1.7811276
4224.412389,1.7949265,1.7949265
4228.639528,1.7943188,1.7943188
4232.866935,1.7955784,1.7955784
4237.094074,1.7973216,1.7973216
4241.332472,1.7970099,1.7970099
4245.570602,1.7938536,1.7938536
4249.819991,1.7927577,1.7927577
4254.069111,1.7849509,1.7849509
4258.329491,1.7824075,1.7824075
4262.578611,1.7792571,1.7792571
4266.849981,1.7736195,1.7736195
4271.110093,1.7779943,1.7779943
4275.381463,1.7837408,1.7837408
4279.663556,1.7905170,1.7905170
4283.945916,1.7905344,1.7905344
4288.228009,1.7928370,1.7928370
