wavelength,flux
4536,5.013e-17
4538,4.746e-17
4540,4.504e-17
4543,5.129e-17
4545,4.659e-17
4555,4.658e-17
4567,5.26e-17
4570,4.068e-17
4572,4.568e-17
4574,4.576e-17
4577,4.356e-17
4579,4.414e-17
4582,4.523e-17
4584,4.381e-17
4587,4.38e-17
4589,3.891e-17
4592,3.686e-17
4594,4.79e-17
4596,4.528e-17
4599,4.756e-17
4601,5.145e-17
4604,4.921e-17
4606,5.09e-17
4609,4.565e-17
4611,4.024e-17
4613,4.303e-17
4616,4.842e-17
4618,4.385e-17
4621,4.188e-17
4623,4.582e-17
4626,3.721e-17
4628,5.376e-17
4630,4.23e-17
4633,4.534e-17
4635,4.16e-17
4638,3.908e-17
4640,5.117e-17
4643,4.713e-17
4645,4.383e-17
4647,4.899e-17
4650,3.671e-17
4652,3.466e-17
4655,4.439e-17
4657,3.442e-17
4660,4.747e-17
4662,4.085e-17
4664,4.393e-17
4667,4.884e-17
4669,4.256e-17
4672,2.766e-17
4674,4.558e-17
4677,4.459e-17
4679,4.297e-17
4681,4.39e-17
4684,3.971e-17
4686,3.912e-17
4689,4.234e-17
4691,3.795e-17
4694,4.734e-17
4696,4.285e-17
4698,4.132e-17
4701,4.498e-17
4703,4.767e-17
4706,4.405e-17
4708,4.673e-17
4711,4.326e-17
4713,4.119e-17
4715,3.85e-17
4718,3.512e-17
4720,3.5e-17
4723,3.787e-17
4725,3.884e-17
4728,3.5e-17
4730,3.943e-17
4732,3.98e-17
4735,3.5e-17
4737,4.45e-17
4740,3.981e-17
4742,3.986e-17
4745,3.864e-17
4747,3.898e-17
4749,3.723e-17
4752,3.867e-17
4754,3.54e-17
4757,3.768e-17
4759,3.409e-17
4762,3.874e-17
4764,3.755e-17
4766,3.561e-17
4769,3.706e-17
4771,3.886e-17
4774,3.615e-17
4776,3.403e-17
4779,4.244e-17
4781,4.048e-17
4784,4.192e-17
4786,3.071e-17
4788,3.767e-17
4791,3.087e-17
4793,4.303e-17
4796,4.442e-17
4798,3.33e-17
4801,3.857e-17
4803,3.419e-17
4805,4.335e-17
4808,3.234e-17
4810,3.382e-17
4813,4.035e-17
4815,4.078e-17
4818,4.41e-17
4820,3.251e-17
4822,3.382e-17
4825,3.698e-17
4827,3.897e-17
4830,3.84e-17
4832,4.09e-17
4835,3.487e-17
4837,2.922e-17
4839,3.233e-17
4842,3.729e-17
4844,3.402e-17
4847,3.476e-17
4849,3.366e-17
4852,4.256e-17
4854,3.51e-17
4856,3.716e-17
4859,3.622e-17
4861,3.242e-17
4864,3.553e-17
4886,3.596e-17
4888,3.209e-17
4890,4.008e-17
4893,2.929e-17
4895,3.613e-17
4898,3.086e-17
4900,4.258e-17
4903,4.422e-17
4905,4.02e-17
4907,3.968e-17
4910,3.31e-17
4912,3.539e-17
4915,4.209e-17
4917,4.033e-17
4920,2.803e-17
4922,3.551e-17
4924,4.165e-17
4927,3.362e-17
4929,3.294e-17
4932,3.697e-17
4934,4.165e-17
4937,4.492e-17
4939,3.732e-17
4941,3.1e-17
4944,4.253e-17
4946,4.372e-17
4949,4.023e-17
4951,3.565e-17
4954,3.968e-17
4956,4.287e-17
4958,4.084e-17
4961,4.29e-17
4963,3.929e-17
4966,3.935e-17
4978,4.22e-17
4980,3.775e-17
4983,4.32e-17
4985,4.101e-17
4988,3.594e-17
4990,3.859e-17
4993,4.056e-17
4995,4.031e-17
4997,4.442e-17
5000,3.816e-17
5002,4.301e-17
5005,4.343e-17
5007,4.161e-17
5010,4.987e-17
5012,4.533e-17
5014,4.661e-17
5017,4.957e-17
5019,4.171e-17
5022,4.346e-17
5024,4.62e-17
5027,4.292e-17
5029,4.244e-17
5031,4.339e-17
5034,3.827e-17
5036,3.666e-17
5039,3.989e-17
5041,3.933e-17
5044,3.903e-17
5046,4.755e-17
5048,3.832e-17
5051,4.421e-17
5053,3.493e-17
5056,4.036e-17
5058,3.715e-17
5061,4.104e-17
5063,4.683e-17
5065,4.321e-17
5068,4.954e-17
5070,4.79e-17
5073,4.095e-17
5075,4.322e-17
5078,4.249e-17
5080,4.747e-17
5082,4.184e-17
5085,5.367e-17
5087,4.594e-17
5090,4.737e-17
5092,3.947e-17
5095,4.371e-17
5097,4.069e-17
5099,4.484e-17
5102,4.2e-17
5104,4.152e-17
5107,4.086e-17
5109,4.677e-17
5112,5.215e-17
5114,4.752e-17
5116,4.625e-17
5119,4.487e-17
5121,5.091e-17
5124,4.842e-17
5126,4.566e-17
5129,4.976e-17
5131,4.67e-17
5133,4.207e-17
5136,4.305e-17
5138,4.72e-17
5153,4.493e-17
5155,4.397e-17
5158,4.023e-17
5160,4.241e-17
5163,3.9e-17
5165,4.712e-17
5167,4.19e-17
5170,4.888e-17
5172,4.827e-17
5175,4.988e-17
5177,4.051e-17
5180,5.306e-17
5182,4.192e-17
5184,4.743e-17
5187,4.996e-17
5189,4.672e-17
5192,4.759e-17
5194,4.704e-17
5197,5.111e-17
5199,3.811e-17
5202,4.8e-17
5204,4.599e-17
5206,3.914e-17
5209,4.597e-17
5211,4.434e-17
5214,4.626e-17
