Mej,Mstar,Z_str,Age(yr),Z
8.126065,40.0,z020,5135376.0,0.02
8.293220000000002,175.0,z020,2049347.0,0.02
6.61046,76.0,z020,3273542.0,0.02
9.464345,82.0,z020,3139598.0,0.02
8.42292,49.0,z020,4549053.0,0.02
6.79047,85.0,z020,3125133.0,0.02
6.929765,71.0,z020,3758632.0,0.02
6.72265,70.0,z020,3365629.0,0.02
6.704275,84.0,z020,3139292.0,0.02
6.8022,83.0,z020,3154381.0,0.02
6.7611550000000005,77.0,z020,3255472.0,0.02
8.319045,48.0,z020,4602853.0,0.02
8.041165,41.0,z020,5056524.0,0.02
8.145835000000002,46.0,z020,4717705.0,0.02
6.783385,79.0,z020,3623760.0,0.02
7.414429999999999,250.0,z020,2987146.0,0.02
7.27233,275.0,z020,1521164.0,0.02
7.543825,64.0,z020,3947152.0,0.02
6.545780000000001,90.0,z020,3057816.0,0.02
7.012945,97.0,z020,3357768.0,0.02
7.5735399999999995,63.0,z020,3977856.0,0.02
9.26022,55.0,z020,4267453.0,0.02
6.96646,99.0,z020,3340008.0,0.02
8.786615000000001,52.0,z020,3938063.0,0.02
8.243400000000001,39.0,z020,5219060.0,0.02
8.388005,37.0,z020,5425148.0,0.02
7.814655,30.0,z020,6454826.0,0.02
7.08857,98.0,z020,3348436.0,0.02
8.92879,53.0,z020,4354350.0,0.02
9.110254999999999,54.0,z020,4310037.0,0.02
7.804875,62.0,z020,4009599.0,0.02
6.947685,96.0,z020,3367101.0,0.02
8.85971,150.0,z020,3095678.0,0.02
6.57773,91.0,z020,3045201.0,0.02
7.630045,65.0,z020,3917605.0,0.02
8.84095,31.0,z020,6267739.0,0.02
8.483835,36.0,z020,5539663.0,0.02
7.15774,300.0,z020,2985291.0,0.02
8.31761,38.0,z020,5318462.0,0.02
6.83054,28.0,z030,6557920.0,0.03
5.5815850000000005,200.0,z030,3204859.0,0.03
7.680445000000001,81.0,z030,3110977.0,0.03
8.310545,75.0,z030,3194307.0,0.03
7.67541,72.0,z030,3244365.0,0.03
7.34311,86.0,z030,3534073.0,0.03
6.56989,44.0,z030,4200461.0,0.03
7.24027,88.0,z030,2793363.0,0.03
